pv,dv,hard,policy,stand,hit,split,double
4,5,True,SPLIT-HIT-DOUBLE DOWN,-6.2618184499161185,-0.23465559515367176,-0.06381569047624108,-2.089270504836297
4,8,True,SPLIT-HIT-STAND,-6.1170363006401995,-0.4465491709771737,-0.1750177260414871,-18.165393068754593
4,3,True,SPLIT-HIT-STAND,-1.0270919888870196,-0.7323297258157173,-0.3211200815607081,-9.462348366347573
4,7,True,SPLIT-HIT-STAND,-7.370763127618224,-0.5074793784660182,-0.18259226099816156,-14.568120040017382
4,2,True,SPLIT-HIT-DOUBLE DOWN,-7.0762385983779,-0.5803615030742525,-0.2637585073008349,-1.4400644067125672
4,10,True,SPLIT-HIT-STAND,-5.180522973517211,-0.7176112117040444,-0.41624954125326075,-13.105300275709885
4,9,True,SPLIT-HIT-STAND,-10.073333652996611,-0.7575150525781752,-0.16644033078212575,-11.207326849329968
4,11,True,SPLIT-HIT-STAND,-8.464157568768094,-0.9342546866517394,-0.4441624321293414,-15.334693461630662
4,4,True,SPLIT-HIT-STAND,-0.40443588906970385,-0.1701904131198428,-0.02595898601490315,-1.3681848413024893
4,6,True,HIT-SPLIT-DOUBLE DOWN,-6.453844592234107,-0.05565794469275237,-0.06153218041448714,-1.21467113544564
5,7,True,HIT-STAND-DOUBLE DOWN,-3.7027101075025834,-0.6751542327247424,,-11.25280171735735
5,10,True,HIT-STAND-DOUBLE DOWN,-6.296228360621166,-0.8049620629011931,,-10.4448576537929
5,2,True,HIT-STAND-DOUBLE DOWN,-5.052575367213376,-0.533278707808402,,-6.125953209369832
5,8,True,HIT-STAND-DOUBLE DOWN,-2.3677614152624678,-0.5954640501005779,,-16.79301953592118
5,6,True,HIT-STAND-DOUBLE DOWN,-0.6748205644477812,-0.2834523707465274,,-4.005685358527986
5,9,True,HIT-STAND-DOUBLE DOWN,-7.512920860246317,-0.6754904915813659,,-11.95044619679223
5,4,True,HIT-STAND-DOUBLE DOWN,-3.0424052811097932,-0.3938473302194078,,-4.647983786824566
5,11,True,HIT-STAND-DOUBLE DOWN,-8.68896954200827,-1.0098891341770557,,-18.221756515412835
5,3,True,HIT-STAND-DOUBLE DOWN,-4.886370592666541,-0.46553431047925714,,-8.810016149275409
5,5,True,HIT-STAND-DOUBLE DOWN,-2.193891622473339,-0.3639550802937831,,-5.113694955986714
6,3,True,HIT-SPLIT-STAND,-3.9802541011860004,-0.46793302852239727,-0.4937050231178023,-7.165117900541485
6,10,True,SPLIT-HIT-STAND,-5.497486676591121,-0.9285032127641436,-0.47915651157630507,-10.144251364444187
6,9,True,SPLIT-HIT-STAND,-5.514543841566444,-0.8493519640593099,-0.2960253881172684,-10.180870301264523
6,6,True,SPLIT-HIT-STAND,-2.644466952232328,-0.2982603200126055,-0.13309465597736025,-5.398837177645254
6,7,True,SPLIT-HIT-STAND,-4.484015005974981,-0.6967196666127023,-0.21421358118486172,-7.61798317171218
6,5,True,SPLIT-HIT-STAND,-1.7261165172390593,-0.33599832433640675,-0.1296688613626966,-3.6618357523182503
6,8,True,SPLIT-HIT-STAND,-4.799551826603987,-0.8169433484174212,-0.3785785457680809,-14.738597796797595
6,2,True,SPLIT-HIT-STAND,-0.8104382158826092,-0.6239380715682665,-0.31198384727930223,-5.260005386206947
6,11,True,SPLIT-HIT-STAND,-9.072656180708837,-1.1621591235046782,-0.6570411304113397,-16.810146907916725
6,4,True,SPLIT-HIT-DOUBLE DOWN,-2.2777357632150235,-0.43482944815789953,-0.3218999657649971,-1.2337608141877079
7,6,True,HIT-STAND-DOUBLE DOWN,-1.3734171886589415,0.04560502499343686,,-1.7490187821690197
7,8,True,HIT-STAND-DOUBLE DOWN,-6.193360497116602,-0.8085200699815404,,-9.298314067493887
7,5,True,HIT-STAND-DOUBLE DOWN,-2.269114843679719,-0.07352940895716434,,-4.235789012419432
7,10,True,HIT-STAND-DOUBLE DOWN,-6.1062201697576395,-1.1172515968331693,,-11.784859773545605
7,3,True,HIT-DOUBLE DOWN-STAND,-1.6583995303609123,-0.36504784772744475,,-0.5360863984017736
7,11,True,HIT-STAND-DOUBLE DOWN,-6.958962493726178,-1.3256100919246372,,-12.271105021047603
7,4,True,HIT-DOUBLE DOWN-STAND,-3.173827335764754,-0.41055438035368325,,-0.6843851012861358
7,2,True,HIT-STAND-DOUBLE DOWN,-1.0823363088218967,-0.5033258996398224,,-5.344742753449332
7,7,True,HIT-STAND-DOUBLE DOWN,-4.157458858346058,-0.4335643098478177,,-8.921098488884482
7,9,True,HIT-STAND-DOUBLE DOWN,-6.274672413575296,-1.071575990419042,,-13.33012840030459
8,9,True,HIT-SPLIT-STAND,-5.065434008032868,-0.624235622171694,-0.6490177148795242,-7.482970203773606
8,8,True,HIT-SPLIT-STAND,-5.081418362665607,-0.19810223097132387,-0.3046682477703975,-5.6009114782558616
8,3,True,HIT-DOUBLE DOWN-SPLIT,-1.267476412147649,-0.15959374965777204,-0.30804886734657067,-0.2933083151216071
8,6,True,HIT-SPLIT-STAND,-1.6543568333361194,0.38484907011683633,-0.14182978703097152,-1.9832056185478968
8,11,True,SPLIT-HIT-STAND,-8.448527451234046,-1.1934496980578684,-0.7558416401890498,-13.850942699495848
8,2,True,HIT-SPLIT-DOUBLE DOWN,-3.2946648339995757,0.14047025583120581,-0.2678539144429438,-0.9079401566846281
8,5,True,HIT-DOUBLE DOWN-SPLIT,-0.6896193326443748,0.2640175489463165,-0.3084069843498055,-0.00332176816946117
8,10,True,SPLIT-HIT-STAND,-5.727326038080168,-0.9031863221789991,-0.6580857559123314,-11.170058424924637
8,7,True,HIT-DOUBLE DOWN-SPLIT,-3.2339821368514747,0.4891803162045125,-0.1183820111155069,0.24347929885405156
8,4,True,DOUBLE DOWN-HIT-SPLIT,-0.12949397676323843,-0.06400691846358715,-0.06765988968147962,1.2091376864041452
9,10,True,HIT-STAND-DOUBLE DOWN,-5.71904801115543,-0.5587841330198097,,-6.4643954717855285
9,2,True,HIT-DOUBLE DOWN-STAND,-0.35589428757644764,0.4381571247285919,,0.04141378359581552
9,7,True,HIT-DOUBLE DOWN-STAND,-3.0194364911391496,0.7786117263945973,,0.7378338542467442
9,3,True,HIT-DOUBLE DOWN-STAND,-0.9538332400013597,0.38053842503390595,,-0.377922820507897
9,9,True,HIT-STAND-DOUBLE DOWN,-3.5968029126702032,0.023859357232800485,,-4.061283841898773
9,6,True,DOUBLE DOWN-HIT-STAND,0.5739121302142065,0.6807003388785552,,4.26990652841243
9,11,True,HIT-STAND-DOUBLE DOWN,-7.7907646569867,-0.9561116544668892,,-10.543029048630501
9,4,True,DOUBLE DOWN-HIT-STAND,-2.046130379555289,0.373846291595883,,1.7874521210086036
9,8,True,DOUBLE DOWN-HIT-STAND,-3.7051294950615468,0.7075482340774482,,2.455476589267487
9,5,True,DOUBLE DOWN-HIT-STAND,-1.8201671287905996,0.5380072968382857,,5.357440913053832
